Project;Manager;Category;Key;Author;CreationDate;Content
CAMEL;Apache Camel Committee;network-server;CAMEL-1213;davsclaus;2009-01-02T17:37:58.068+0000;fellow:1 riders:1 please:1 review:1 patch:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1213;janstey;2009-01-02T17:43:26.203+0000;fix:1 makes:1 sense:1 think:1 typo:1 originally:1 created:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1213;jstrachan;2009-01-05T18:40:56.956+0000;agreed:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1213;jstrachan;2009-01-05T18:41:04.988+0000;bad:1 james:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1213;davsclaus;2009-01-06T05:46:06.324+0000;trunk:1 x:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1213;davsclaus;2009-07-31T06:33:54.946+0000;closing:1 tickets:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1217;njiang;2009-01-04T07:18:03.391+0000;also:1 updated:1 release:1 note:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1217;davsclaus;2009-07-31T06:33:55.083+0000;closing:1 tickets:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1221;njiang;2009-01-04T01:27:30.633+0000;hi:1 michael:1 thanks:1 pointing:1 language:1 issue:1 take:1 care:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1221;njiang;2009-01-09T07:24:30.811+0000;snapshot:2 hi:1 michael:1 check:1 latest:1 camel:1 verify:1 fixing:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1221;davsclaus;2009-07-31T06:33:55.891+0000;closing:1 tickets:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1225;janstey;2009-01-05T15:11:32.632+0000;converters:1 exactly:1 thing:1 harm:1 removing:1 one:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1225;davsclaus;2009-07-31T06:33:55.967+0000;closing:1 tickets:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1230;janstey;2009-01-06T18:25:25.206+0000;easy:1 fix:1 moved:1 core:1 version:1 need:1 add:1 dependency:1 camel:1 well:1 problem:1 current:1 release:1 depended:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1230;davsclaus;2009-01-06T18:26:50.419+0000;yeah:1 suggest:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1230;janstey;2009-01-06T18:34:01.134+0000;x:2 yeah:1 remembered:1 component:1 move:1 soon:1 creating:1 bit:1 quick:1 trigger:1 finger:1 guess:1 simple:1 fix:1 merged:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1230;davsclaus;2009-07-31T06:33:56.119+0000;closing:1 tickets:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1233;davsclaus;2009-01-07T13:27:15.107+0000;guess:1 get:1 x:1 well:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1233;davsclaus;2009-01-07T15:29:04.424+0000;patch:1 fix:1 plus:1 unit:1 tests:1 send:1 correct:1 starting:1 route:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1233;davsclaus;2009-01-07T16:02:15.304+0000;camel:12 java:12 core:6 apache:6 test:5 processor:5 sending:4 adding:2 fixed:1 trunk:1 main:1 transmitting:1 file:1 data:1 committed:1 revision:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1233;davsclaus;2009-01-07T16:46:37.152+0000;x:1 branch:1 committed:1 revision:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1233;davsclaus;2009-07-31T06:33:56.884+0000;closing:1 tickets:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;watcher;2009-01-13T09:34:35.010+0000;amp:8 file:2 password:2 true:2 log:1 following:1 route:1 endpoint:1 id:1 binary:1 expression:1 done:1 name:1 recursive:1 delay:1 rename:1 c:1 filter:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;davsclaus;2009-01-13T09:40:49.527+0000;log:2 trace:2 thanks:1 sure:1 using:1 cant:1 see:1 lines:1 file:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;davsclaus;2009-01-13T10:15:03.478+0000;think:1 got:1 running:1 full:1 unit:1 test:1 fix:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;watcher;2009-01-13T10:33:44.670+0000;sorry:1 go:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;davsclaus;2009-01-13T11:03:42.438+0000;camel:3 fix:2 build:2 paddy:1 commited:1 trunk:1 lovely:1 test:1 wait:1 x:1 hours:1 long:1 takes:1 apache:1 infra:1 deploy:1 new:1 snapshot:1 grab:1 source:1 ftp:1 jar:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;davsclaus;2009-01-13T11:24:07.332+0000;bug:1 exists:1 x:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;watcher;2009-01-13T12:21:38.372+0000;folder:5 incoming:5 c:4 printer:4 session:4 outgoing:3 windows:3 star:3 error:2 directory:2 utc:2 info:2 thread:2 account:2 channel:2 operation:2 failed:2 file:2 bean:2 property:2 name:2 value:2 fixed:1 however:1 still:1 getting:1 structure:1 set:1 user:1 root:1 log:1 server:1 closed:1 registered:1 successful:1 listed:1 entries:1 reading:1 attributes:1 follow:1 system:1 find:1 specified:1 wrong:1 filter:1 id:1 class:1 apache:1 camel:1 component:1 remote:1 includes:1 excludes:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;davsclaus;2009-01-13T12:29:16.907+0000;file:2 hi:1 looks:1 like:1 gets:1 list:1 detect:1 incoming:1 directory:1 look:1 code:1 try:1 get:1 fix:1 test:1
CAMEL;Apache Camel Committee;network-server;CAMEL-1247;davsclaus;2009-01-13T12:43:55.755+0000;camel:2 java:2 file:2 paddy:1 commited:1 fix:1 new:1 problem:1 sending:1 ftp:1 main:1 apache:1 component:1 remote:1 transmitting:1 data:1 committed:1 revision:1
