Project;Manager;Category;Key;Author;CreationDate;Content
CODEC;Apache Commons Committee;library;CODEC-76;ggregory@seagullsw.com;2009-07-13T22:41:24.281+0000;old:2 numbers:2 tickets:2 bug:1 system:1 migrated:1 documents:1 fixed:1
CODEC;Apache Commons Committee;library;CODEC-76;bayard;2009-07-16T03:39:47.949+0000;migrated:1 bit:1 later:1
CODEC;Apache Commons Committee;library;CODEC-76;bayard;2009-07-16T03:45:57.229+0000;later:1 sooner:1 expected:1 ids:1 gone:1 changes:1 file:1 next:1 time:1 site:1 published:1 ie:1 forthcoming:1 release:1 fixed:1
CODEC;Apache Commons Committee;library;CODEC-77;juliusdavies;2009-07-13T21:40:27.961+0000;fix:1 including:1 also:1 fixed:1 two:1 minor:1 naming:1 glitches:1
CODEC;Apache Commons Committee;library;CODEC-77;juliusdavies;2009-07-13T22:04:22.347+0000;empty:2 byte:2 array:2 note:1 properly:1 encodes:1 regression:1 trunk:1 caused:1 patch:1 submitted:1
CODEC;Apache Commons Committee;library;CODEC-77;ggregory@seagullsw.com;2009-07-13T22:36:13.726+0000;committed:1
CODEC;Apache Commons Committee;library;CODEC-80;juliusdavies;2009-07-23T06:06:58.002+0000;patch:2 two:1 patches:1 attached:1 make:1 fail:1 fix:1
CODEC;Apache Commons Committee;library;CODEC-80;ggregory@seagullsw.com;2009-07-24T00:43:18.093+0000;patch:1 committed:1 small:1 changes:1 thank:1
CODEC;Apache Commons Committee;library;CODEC-81;juliusdavies;2009-07-26T22:32:54.520+0000;patch:3 bug:2 two:1 patches:1 attached:1 highlights:1 fix:1 fixes:1 tiny:1 bit:1 code:1 cleanup:1 anticipating:1 next:1 attempt:1 particular:1 hopefully:1 string:1 become:1 valid:1 object:1 type:1 decode:1
CODEC;Apache Commons Committee;library;CODEC-81;juliusdavies;2009-07-26T22:34:54.159+0000;fix:2 methods:2 patch:1 moves:1 logic:1 two:1 main:1 public:1 static:1 member:1 instead:1
CODEC;Apache Commons Committee;library;CODEC-81;ggregory@seagullsw.com;2009-07-27T06:08:04.309+0000;patch:2 line:1 replace:1 url:1 safe:1 padding:1 uses:1 java:1 string:1 yet:1 moved:1 please:1 thank:1
CODEC;Apache Commons Committee;library;CODEC-81;juliusdavies;2009-07-27T18:42:10.892+0000;whoops:1 previous:1 compatible:1 sorry:1
CODEC;Apache Commons Committee;library;CODEC-81;ggregory@seagullsw.com;2009-07-28T06:06:10.978+0000;patch:1 applied:1
