Project;Manager;Category;Key;Author;CreationDate;Content
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-310;chsemrau;2009-01-10T20:25:58.294+0000;test:2 seems:1 properties:1 currently:1 tested:1 bulk:1 tests:1 disabled:1 managed:1 enable:1 using:1 copy:1 instead:1 disables:1 outer:1 must:1 return:1 false:1 still:1 one:1 fails:1 maybe:1 subject:1 different:1 issue:1
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-310;t.vahrst;2013-01-26T16:30:52.659+0000;list:7 behavior:4 method:4 element:4 class:3 contract:3 java:3 already:2 stated:2 violation:2 example:2 may:2 violates:2 algorithm:2 elements:2 position:2 removing:2 fails:2 issue:2 adhere:1 name:1 well:1 implemented:1 interface:1 implies:1 true:1 several:1 methods:1 violate:1 state:1 furthermore:1 clear:1 enough:1 add:1 states:1 return:1 false:1 also:1 semantics:1 specified:1 added:1 possibly:1 removed:1 invocation:1 imagine:1 generic:1 sort:1 lists:1 internal:1 moves:1 first:1 adding:1 new:1 old:1 probably:1 remove:1 test:1 opinion:1 concerning:1 solved:1 way:1 makes:1 expectable:1 user:1 instead:1 providing:1 implementation:1 work:1 cases:1 sometimes:1 describing:1 strange:1 took:1 time:1 understand:1 suggest:1 throw:1 personally:1 consider:1 whole:1 many:1 developers:1 use:1 apache:1 commons:1 classes:1 code:1 reference:1 concrete:1 coding:1 problems:1 good:1 decorator:1 pattern:1 addition:1 substitution:1 principle:1 better:1 solution:1 described:1 think:1 comments:1
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-310;tn;2013-01-30T17:09:20.741+0000;general:2 statement:2 element:2 may:2 class:2 hi:1 thomas:1 agree:1 observation:1 understand:1 specified:1 added:1 possibly:1 removed:1 invocation:1 looking:1 add:1 method:1 fail:1 see:1 happen:1 use:1 case:1 describe:1 explicitly:1 call:1 remove:1 wonder:1 related:1 previous:1 used:1 lot:1 care:1 know:1 exactly:1 probably:1 convincing:1 either:1 prefer:1 keep:1 improve:1 current:1 limitations:1 never:1 fully:1 resolved:1
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-310;t.vahrst;2013-01-30T18:07:38.206+0000;comment:2 understand:1 must:1 tired:1 right:1 sorting:1 example:1 nonsense:1 please:1 ignore:1 agree:1 keep:1 class:1 try:1 write:1 additions:1 method:1 clarify:1 behavior:1
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-310;t.vahrst;2013-02-02T12:47:35.597+0000;list:10 modifications:5 backing:5 parent:4 range:4 subset:4 issue:3 implementation:3 internal:3 new:3 method:3 may:3 result:3 example:3 item:3 position:3 offsets:3 first:3 problem:2 seems:2 current:2 set:2 adding:2 moving:2 solve:2 quote:2 returned:2 took:1 deeper:1 look:1 suggested:1 behavior:1 tests:1 tried:1 understand:1 two:1 issues:1 regarding:1 items:1 delegated:1 underlying:1 default:1 entry:1 added:1 contains:1 returns:1 false:1 changes:1 outside:1 element:1 somewhere:1 defined:1 move:1 corrupt:1 easy:1 holding:1 reference:1 another:1 created:1 based:1 maintain:1 collections:1 sets:1 second:1 similar:1 direct:1 modification:1 supported:1 states:1 semantics:1 become:1 undefined:1 e:1 structurally:1 modified:1 way:1 structural:1 change:1 size:1 otherwise:1 perturb:1 fashion:1 iterations:1 progress:1 yield:1 incorrect:1 results:1 track:1 adjust:1 accordingly:1 duplicate:1 exists:1 front:1 decrement:1 wrote:1 short:1 comment:1 perhaps:1 return:1
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-310;tn;2013-02-07T14:48:57.967+0000;backing:4 list:3 new:2 uniqueness:2 right:1 calling:1 independent:1 created:1 filled:1 elements:1 specified:1 range:1 problem:1 comes:1 fact:1 check:1 create:1 inner:1 class:1 see:1 example:1 delegate:1 calls:1 properly:1 adjusting:1 arguments:1 e:1 g:1 calculate:1 real:1 index:1 support:1 contract:1 order:1 maintained:1 validated:1 think:1
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-310;t.vahrst;2013-02-17T20:39:19.261+0000;many:1 new:1
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-310;t.vahrst;2013-02-17T20:51:40.447+0000;functions:2 first:2 means:2 based:2 behavior:2 index:2 trying:1 create:1 implementation:1 conforms:1 required:1 patch:1 contains:1 many:1 new:1 checking:1 implemented:1 two:1 possible:1 solutions:1 following:1 posts:1 next:1 days:1 coding:1 realized:1 problem:1 concerning:1 supports:1 add:1 set:1 remove:1 functionality:1 needs:1 corresponding:1 may:1 start:1 specified:1 underlying:1 necessary:1 iteration:1 issue:1 tests:1 provided:1 later:1
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-310;t.vahrst;2013-02-18T20:36:29.883+0000;list:14 offset:8 parent:6 e:6 f:6 g:6 set:5 implementation:4 new:4 c:4 h:4 patch:3 variant:3 existing:3 functionality:3 create:3 tests:2 comment:2 solution:2 method:2 decorated:2 creates:2 example:2 adding:2 range:2 behavior:2 values:2 based:2 b:2 j:2 index:2 contains:1 sure:1 correct:1 format:1 able:1 apply:1 attached:1 corresponding:1 java:1 files:1 well:1 recognized:1 uses:1 fills:1 elements:1 issue:1 requires:1 modified:1 certain:1 invocations:1 element:1 exists:1 somewhere:1 outside:1 current:1 attempt:1 modify:1 fails:1 inside:1 reuse:1 service:1 contracts:1 original:1 slightly:1 different:1 setting:1 second:1 first:1 top:1 provide:1 semantics:1 adds:1 move:1 expected:1 result:1 movement:1 causes:1 mentioned:1 requirements:1 decided:1 every:1 holds:1 maintains:1 reference:1 value:1 lists:1 updated:1 according:1 required:1 adjusted:1 necessary:1 use:1 copied:1 code:1 creating:1 also:1 time:1 two:1 things:1 missing:1 details:1 explaining:1 continued:1
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-310;t.vahrst;2013-03-04T20:35:53.829+0000;2nd:1 variant:1 modified:1 even:1
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-310;t.vahrst;2013-03-04T21:02:33.941+0000;java:3 variant:3 underlying:3 list:3 contains:2 first:2 holds:2 reference:2 new:1 test:1 behavior:1 2nd:1 implemented:1 contrast:1 attempt:1 class:1 inherit:1 inherits:1 shared:1 every:1 maintains:1 set:1 offset:1 element:1 range:1 support:1 personally:1 found:1 solution:1 bit:1 elegant:1
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-310;tn;2013-03-17T10:22:33.710+0000;class:3 still:2 hi:1 thomas:1 looked:1 variants:1 undecided:1 generally:1 think:1 keep:1 inheritance:1 remain:1 decorator:1 adding:1 fields:1 actual:1 also:1 side:1 need:1 make:1 sure:1 serialization:1 works:1 correctly:1 prefer:1 create:1 inner:1 static:1 view:1 returned:1 calling:1 play:1 patch:1 give:1 feedback:1 thanks:1
COLLECTIONS;Apache Commons Committee;library;COLLECTIONS-310;tn;2013-04-25T19:33:43.732+0000;list:4 backing:3 adding:2 element:2 contained:2 already:2 take:1 another:1 look:1 provided:1 test:1 cases:1 agree:1 following:1 behavior:1 results:1 moving:1 new:1 location:1 expect:1 also:1 e:1 g:1 calling:1 add:1 result:1 change:1 think:1 make:1 clear:1 returned:1 backed:1 thus:1 elements:1 added:1 present:1 visible:1 view:1
