Project;Manager;Category;Key;Author;CreationDate;Content
COMPRESS;Apache Commons Committee;library;COMPRESS-1;cgrobmeier;2009-01-09T05:58:23.290+0000;patch:1 fix:1 offset:1 trouble:1
COMPRESS;Apache Commons Committee;library;COMPRESS-11;tcurdt;2009-03-27T21:16:25.694+0000;problem:1 copy:1 stop:1 entry:1 boundary:1 also:1 copies:1 entries:1
COMPRESS;Apache Commons Committee;library;COMPRESS-11;sebb@apache.org;2009-03-28T02:42:20.777+0000;read:3 methods:2 entry:2 expand:1 previous:1 comment:1 problem:1 break:1 stream:1 chunks:1 report:1 allows:1 continue:1 end:1 new:1 three:1 update:1 offset:1 variable:1 looks:1 like:1 mistake:1
COMPRESS;Apache Commons Committee;library;COMPRESS-11;cgrobmeier;2009-03-28T12:34:28.456+0000;patch:1 respects:1 chunks:1 perfect:1 ar:1 runs:1 however:1 still:1 error:1 happen:1 due:1 problem:1 apply:1 account:1 please:1 review:1 cheers:1
COMPRESS;Apache Commons Committee;library;COMPRESS-11;sebb@apache.org;2009-03-28T14:05:42.047+0000;method:3 read:3 byte:2 b:2 public:1 deleted:1 parent:1 checking:1 end:1 entry:1 probably:1 best:1 replace:1 call:1
COMPRESS;Apache Commons Committee;library;COMPRESS-11;bodewig;2009-03-30T16:34:34.028+0000;revision:1
COMPRESS;Apache Commons Committee;library;COMPRESS-12;bodewig;2009-03-13T05:34:34.324+0000;protected:2 things:2 change:2 rather:1 turn:1 general:1 think:1 task:1 applies:1 zip:1 package:1 well:1 comments:1 indicate:1 fields:1 used:1 way:1 early:1 versions:1 ant:1 backwards:1 compatibility:1 requirement:1 compress:1 share:1 free:1 really:1 make:1 sense:1 want:1 subclasses:1 buffer:1 example:1
COMPRESS;Apache Commons Committee;library;COMPRESS-12;sebb@apache.org;2009-03-13T20:36:33.219+0000;private:2 mutable:2 requirements:2 agreed:1 time:1 grab:1 back:1 many:1 non:1 fields:1 possible:1 much:1 easier:1 relax:1 later:1 really:1 prove:1 necessary:1 field:1 documented:1 good:1 reason:1 making:1 synchronisation:1 stated:1
COMPRESS;Apache Commons Committee;library;COMPRESS-12;sebb@apache.org;2009-03-14T02:42:25.436+0000;patch:1 make:1 many:1 fields:1 private:1
COMPRESS;Apache Commons Committee;library;COMPRESS-12;cgrobmeier;2009-03-19T06:05:22.136+0000;patch:1 protect:1 classes:1
COMPRESS;Apache Commons Committee;library;COMPRESS-12;bodewig;2009-03-20T15:42:49.778+0000;revision:1
COMPRESS;Apache Commons Committee;library;COMPRESS-13;irockel;2009-02-11T17:22:39.561+0000;patch:1 fixing:1 issue:1
COMPRESS;Apache Commons Committee;library;COMPRESS-13;irockel;2009-02-11T17:23:50.829+0000;updated:1 test:1 case:1 file:1
COMPRESS;Apache Commons Committee;library;COMPRESS-13;bodewig;2009-02-12T10:14:52.407+0000;ant:3 reason:1 task:1 reads:1 first:1 two:1 bytes:1 validates:1 b:1 z:1 handing:1 rest:1 stream:1 implemented:1 way:1 certainly:1 late:1 change:1 fix:1 commons:1 compress:1
COMPRESS;Apache Commons Committee;library;COMPRESS-13;bodewig;2009-02-12T10:17:39.748+0000;applies:1 well:1 writes:1 h:1 instead:1
