Project;Manager;Category;Key;Author;CreationDate;Content
CRUNCH;Apache Crunch Committee;library;CRUNCH-1;jghoman;2012-07-05T21:28:57.399+0000;patch:1 new:1 name:1 updates:1 git:1 adds:1 license:1 mailing:1 list:1 removes:1 distribution:1 management:1 none:1 currently:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-1;jghoman;2012-07-05T21:31:33.591+0000;also:1 adds:1 apache:1 license:1 header:1 pom:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-1;jwills;2012-07-06T02:01:20.425+0000;version:2 thank:1 couple:1 thoughts:1 swapping:1 default:1 apache:1 releases:1 instead:1 thinking:1 need:1 propagate:1 pom:1 changes:1 examples:1 scrunch:1 well:1 object:1 putting:1 separate:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-1;jghoman;2012-07-06T02:34:19.957+0000;yes:1 done:1 seems:1 like:1 separate:1 either:1 way:1 fine:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-1;jwills;2012-07-06T16:15:34.566+0000;defer:1 judgement:1 separate:1 created:1 task:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-1;jwills;2012-07-07T17:27:28.141+0000;thanks:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-1;jwills;2012-09-17T06:41:29.213+0000;close:1 issues:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-2;jwills;2012-07-05T21:33:39.481+0000;working:1 legal:1 stuff:1 agree:1 switch:1 apache:1 blocker:1 release:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-2;jghoman;2012-07-05T21:36:53.037+0000;blocker:2 release:1 contribution:1 contributors:1 cleared:1 contribute:1 apache:1 companies:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-2;phunt;2012-07-05T21:42:21.186+0000;josh:3 headers:2 http:1 www:1 apache:1 legal:1 html:1 suggest:1 replacing:1 moving:1 mention:1 notice:1 file:1 soon:1 feels:1 comfortable:1 grant:1 progress:1 probably:1 agent:1 check:1 flume:1 folks:1 script:1 often:1 regards:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-2;jwills;2012-07-05T21:48:42.820+0000;sounds:1 good:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-2;jwills;2012-09-17T06:41:29.539+0000;close:1 issues:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-10;jwills;2012-07-10T22:16:59.994+0000;fixed:1 patch:1 thanks:1 tracking:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-10;jwills;2012-07-10T22:17:48.006+0000;time:1 w:1 button:1 clicked:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-10;jwills;2012-07-10T22:22:14.526+0000;submitted:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-10;jwills;2012-09-17T06:41:29.402+0000;close:1 issues:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-11;jghoman;2012-07-10T21:33:09.872+0000;alpha:2 constructor:2 patch:1 replaces:1 apache:1 however:1 testing:1 test:1 fails:1 trying:1 reference:1 exist:1 code:1 path:1 one:1 version:1 imagine:1 getting:1 exercised:1 often:1 helpful:1 routinely:1 run:1 tests:1 supported:1 versions:1 maven:1 makes:1 bit:1 pain:1 regardless:1 ok:1 missing:1 taken:1 care:1 later:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-11;jwills;2012-07-10T22:49:01.829+0000;committed:1 thank:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-11;jwills;2012-09-17T06:41:30.428+0000;close:1 issues:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-13;gabriel.reid;2012-07-11T15:38:57.593+0000;patch:1 resolve:1 issue:1 well:1 performing:1 small:1 cleanup:1 around:1 reflection:1 based:1 handling:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-13;jwills;2012-07-11T16:16:31.084+0000;looks:1 good:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-13;gabriel.reid;2012-07-12T07:10:33.438+0000;committed:1 master:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-22;gabriel.reid;2012-07-21T10:50:03.615+0000;patch:1 correct:1 issue:1 well:1 unit:1 tests:1 basic:1 functionality:1 join:1 types:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-22;gabriel.reid;2012-07-21T10:53:57.716+0000;pushed:1 master:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-22;mafr;2012-07-21T12:15:03.726+0000;know:1 reason:1 object:1 pooling:1 mr:1 applications:1 typically:1 bound:1 garbage:1 collector:1 overhead:1 matter:1 much:1 curious:1 seen:1 lots:1 bugs:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-22;jwills;2012-07-21T17:06:08.538+0000;textbook:1 case:1 premature:1 optimization:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-22;jwills;2012-09-17T06:41:30.729+0000;close:1 issues:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;gabriel.reid;2012-07-21T11:44:47.239+0000;issue:2 local:2 example:1 demonstrate:1 note:1 visible:1 run:1 uses:1 single:1 reducer:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;jwills;2012-07-21T17:09:50.418+0000;going:1 need:1 along:1 lines:1 http:1 reusable:1 total:1 order:1 sorting:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;rahul.sharma;2012-07-30T06:35:54.988+0000;solution:2 file:2 case:2 first:1 cut:1 issue:1 suffers:1 drawback:1 keys:1 partition:1 evenly:1 distributed:1 worst:1 e:1 already:1 sorted:1 words:1 work:1 done:1 last:1 reducer:1 way:1 improving:1 also:1 problem:1 sorting:1 pairs:1 create:1 test:1 tests:1 eventually:1 ran:1 sort:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;jwills;2012-07-31T14:45:54.835+0000;take:1 another:1 look:1 link:1 posted:1 describes:1 strategy:1 sampling:1 input:1 keys:1 balancing:1 distribution:1 reducer:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;rahul.sharma;2012-08-03T07:34:36.657+0000;solution:2 data:2 subset:2 josh:1 implemented:1 feel:1 distribution:1 perfect:1 based:1 reservoir:1 sampling:1 keys:1 used:1 selected:1 solely:1 depends:1 good:1 sample:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;jwills;2012-08-03T15:28:57.649+0000;data:2 large:2 sample:2 thanks:1 man:1 take:1 look:1 weekend:1 think:1 reservoir:1 sampling:1 approach:1 work:1 either:1 quality:1 matter:1 much:1 b:1 good:1 w:1 high:1 probability:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;jwills;2012-08-06T03:19:46.868+0000;two:1 thoughts:1 testing:1 strategy:1 mind:1 verify:1 really:1 works:1 way:1 move:1 specific:1 logic:1 class:1 crunch:1 sort:1 stuff:1 work:1 calls:1 methods:1 pipeline:1 interface:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;rahul.sharma;2012-08-06T06:27:59.957+0000;solution:2 java:2 josh:1 know:1 test:1 build:1 tested:1 running:1 attached:1 cluster:1 fail:1 job:1 single:1 node:1 try:1 run:1 multiple:1 reducers:1 looking:1 bytes:1 reduce:1 task:1 case:1 throws:1 back:1 exception:1 saying:1 caused:1 io:1 wrong:1 number:1 partitions:1 apache:1 partition:1 also:1 code:1 get:1 like:1 creation:1 sample:1 improvements:1 side:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;rahul.sharma;2012-08-08T08:47:43.654+0000;test:2 changes:1 made:1 pipeline:1 apis:1 incorporate:1 fix:1 cases:1 written:1 partition:1 file:1 make:1 sort:1 tested:1 cluster:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;rahul.sharma;2012-08-08T08:59:56.392+0000;patch:1 tested:1 using:1 attached:1 solution:1 works:1 fine:1 feel:1 words:1 file:1 distribution:1 perfect:1 pushes:1 relatively:1 larger:1 number:1 data:1 first:1 node:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;gabriel.reid;2012-08-16T18:42:21.553+0000;patch:3 look:2 going:1 take:1 well:1 got:1 couple:1 questions:1 crunch:1 sorting:1 issue:1 full:1 cumulative:1 also:1 took:1 quick:1 appears:1 might:1 reliant:1 using:1 therefore:1 work:1 idea:1 case:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;rahul.sharma;2012-08-17T03:56:36.749+0000;intermediate:3 patch:2 keys:2 need:2 file:2 creates:2 output:2 files:2 yes:1 full:1 cumulative:1 works:1 basically:1 end:1 requires:1 sorted:1 null:1 values:1 materialize:1 collection:1 think:1 crunch:1 completely:1 sure:1 till:1 seen:1 case:1 different:1 type:1 also:1 tested:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;rahul.sharma;2012-08-23T09:20:00.917+0000;gabriel:1 check:1 patch:1 files:1 work:1 bad:1 verified:1 earlier:1 also:1 fixing:1 getting:1 stuck:1 point:1 end:1 requires:1 make:1 one:1 using:1 keys:1 data:1 still:1 trying:1 options:1 e:1 g:1 configuring:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;rahul.sharma;2012-08-23T11:15:50.736+0000;apache:4 java:3 key:2 back:2 partition:2 able:1 create:1 sequence:1 files:1 data:1 class:1 read:1 exceptions:1 expects:1 type:1 cast:1 io:1 suggestions:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;gabriel.reid;2012-08-23T20:20:02.699+0000;definite:1 suggestions:1 take:1 closer:1 look:1 couple:1 days:1 unfortunately:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;rahul.sharma;2012-08-24T05:04:47.591+0000;data:3 order:3 want:2 schema:2 current:1 form:1 usable:1 issue:1 states:1 need:1 implement:1 use:1 second:1 thought:1 work:1 sort:1 imposed:1 user:1 specifies:1 make:1 sure:1 loads:1 using:1 none:1 specified:1 select:1 ascending:1 default:1 fields:1 record:1 feels:1 like:1 sorted:1 box:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;gabriel.reid;2012-08-24T19:56:02.577+0000;work:2 get:2 code:2 yes:1 looks:1 like:1 bit:1 working:1 mailing:1 list:1 proposed:1 hard:1 use:1 single:1 reducer:1 block:1 initial:1 release:1 fixing:1 structurally:1 sort:1 order:1 indeed:1 imposed:1 schema:1 make:1 difference:1 partitioning:1 reducers:1 still:1 done:1 way:1 hash:1 default:1 total:1 ordering:1 box:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;rahul.sharma;2012-08-25T03:52:05.383+0000;release:2 number:1 reducers:1 solution:1 attached:1 patch:1 lets:1 get:1 first:1 fix:1 elaborately:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;gabriel.reid;2012-08-25T19:26:36.747+0000;committed:1 hard:1 coded:1 single:1 reducer:1 patch:1 thanks:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-23;gabriel.reid;2012-08-25T19:32:08.730+0000;issue:2 order:2 provide:2 fixed:1 using:1 single:1 reducer:1 total:1 sorting:1 crunch:1 created:1 structural:1 based:1 improvement:1
CRUNCH;Apache Crunch Committee;library;CRUNCH-28;mafr;2012-07-30T20:54:48.887+0000;test:3 phase:2 data:2 attached:1 rat:1 right:1 runs:1 quickly:1 also:1 move:1 verify:1 please:1 review:1 licenses:1 scrunch:1 script:1 integration:1 especially:1 shakes:1 sure:1 general:1 adding:1 license:1 headers:1 break:1 tests:1
