Project;Manager;Category;Key;Author;CreationDate;Content
DERBY;Apache DB Committee;database;DERBY-4001;knutanders;2009-01-05T10:13:54.685+0000;row:4 inserted:3 updated:3 deleted:3 tried:2 derby:2 insert:2 values:2 select:2 reproduce:1 issue:1 environment:1 java:1 query:1 return:1 first:1 problem:1 reported:1 create:1 table:1 decimal:1 rows:1 selected:1
DERBY;Apache DB Committee;database;DERBY-4001;viyer;2009-01-05T18:59:05.158+0000;rows:4 inserted:4 updated:4 deleted:4 derby:3 bin:3 select:3 null:2 db:2 table:2 insert:2 values:2 row:2 selected:2 forgot:1 add:1 column:1 declared:1 constraint:1 attached:1 output:1 c:1 version:1 connect:1 drop:1 create:1 decimal:1
DERBY;Apache DB Committee;database;DERBY-4001;knutanders;2009-01-06T15:52:27.395+0000;thanks:1 see:1 issue:1 add:1 null:1
DERBY;Apache DB Committee;database;DERBY-4001;knutanders;2009-01-06T16:09:04.051+0000;x:4 rows:3 null:2 inserted:2 updated:2 deleted:2 b:2 select:2 problem:1 seem:1 limited:1 decimal:1 data:1 type:1 create:1 table:1 insert:1 values:1 c:1 selected:1 returned:1 one:1 row:1 works:1 expected:1 constraint:1 removed:1
DERBY;Apache DB Committee;database;DERBY-4001;knutanders;2009-01-06T17:07:55.566+0000;nulls:3 row:3 returned:2 left:2 apparently:1 rewrites:1 queries:1 differently:1 depending:1 columns:1 see:1 problem:1 column:1 probably:1 good:1 starting:1 point:1 tracking:1 bug:1 comment:1 either:1 side:1 comparison:1 flattened:1 need:1 add:1 null:1 node:1 top:1 behavior:1 beetle:1 right:1 operand:1 result:1 empty:1 applying:1 join:1 predicate:1 every:1 including:1 otherwise:1 return:1
DERBY;Apache DB Committee;database;DERBY-4001;knutanders;2009-03-24T14:57:58.347+0000;join:19 side:18 rows:12 x:11 left:11 select:10 condition:10 right:8 pushed:6 empty:6 exists:5 negated:5 result:5 returned:5 return:4 match:3 query:2 b:2 original:2 happens:2 expected:2 row:2 rewritten:1 internally:1 correct:1 far:1 point:1 sure:1 decides:1 scan:1 however:1 problems:1 pushing:1 predicates:1 probably:1 otherwise:1 end:1 uninteresting:1 set:1 therefore:1 filtered:1 even:1 think:1 still:1 need:1 keep:1 apply:1 perhaps:1 change:1 remove:1 removed:1 kept:1 case:1 predicate:1 used:1 restrict:1 though:1 give:1 interested:1 might:1 miss:1 examples:1 create:1 table:1 null:1 insert:1 values:1 queries:1 reason:1 returns:1 similarly:1 one:1 three:1
DERBY;Apache DB Committee;database;DERBY-4001;knutanders;2009-03-24T15:30:06.264+0000;rows:4 exists:3 x:3 inserted:2 updated:2 deleted:2 select:2 always:2 problem:1 also:1 seen:1 use:1 directly:1 create:1 table:1 insert:1 values:1 selected:1 query:1 returned:1 three:1 empty:1 therefore:1 evaluate:1 true:1
DERBY;Apache DB Committee;database;DERBY-4001;knutanders;2009-03-27T13:38:26.986+0000;x:10 rows:5 select:4 exists:3 rewritten:3 inserted:3 updated:3 deleted:3 table:2 selected:2 alter:2 problem:1 queries:1 sides:1 get:1 case:1 create:1 insert:1 values:1 ok:1 column:1 null:1 wrong:1 result:1 query:1
DERBY;Apache DB Committee;database;DERBY-4001;knutanders;2009-03-27T14:20:36.260+0000;side:8 join:6 left:6 exists:5 effect:4 flattening:3 queries:3 safe:3 flatten:3 predicate:3 cases:2 right:2 case:2 like:2 flattened:2 beginning:1 think:1 stop:1 rewritten:1 least:1 general:1 opposite:1 also:1 filter:1 rows:1 happens:1 empty:1 believe:1 mean:1 predicates:1 reference:1 table:1 ok:1 always:1 evaluates:1 false:1 still:1 might:1 possible:1 detect:1 condition:1 set:1 flag:1 decide:1 query:1 looks:1 added:1 beetle:1 test:1 check:1 actually:1 guess:1 try:1 continue:1
DERBY;Apache DB Committee;database;DERBY-4001;bryanpendleton;2009-04-12T16:12:05.918+0000;flattening:2 exists:2 queries:2 suggestion:1 cease:1 think:1 tell:1 difference:1 safe:1 flatten:1 fine:1 example:1 involve:1
DERBY;Apache DB Committee;database;DERBY-4001;knutanders;2009-04-14T13:36:00.744+0000;select:18 x:15 flattening:8 table:7 queries:6 predicates:6 flattened:5 like:5 join:5 condition:5 patch:4 exists:4 safe:3 work:3 outer:3 way:2 see:2 test:2 expected:2 still:2 ones:2 pulled:2 reference:2 base:2 query:2 used:2 case:2 results:2 another:1 look:1 code:1 think:1 found:1 distinguish:1 unsafe:1 attached:1 lacks:1 comments:1 cases:1 ready:1 commit:1 runs:1 cleanly:1 three:1 essential:1 changes:1 pull:1 marked:1 predicate:1 applied:1 allow:1 inner:1 none:1 cause:1 trouble:1 makes:1 one:1 happen:1 though:1 may:1 sound:1 prevent:1 example:1 simple:1 pushed:1 gets:1 made:1 sure:1 new:1 created:1 instance:1 adds:1 check:1 happens:1 right:1 side:1 references:1 know:1 filter:1 rows:1 prevents:1
DERBY;Apache DB Committee;database;DERBY-4001;knutanders;2009-04-14T13:51:41.463+0000;id:16 select:14 exists:7 docs:6 count:5 flattened:4 join:3 tab:2 bryan:1 asked:1 queries:1 expected:1 ones:1 found:1 executed:1 multiple:1 times:1 different:1 constraints:1
DERBY;Apache DB Committee;database;DERBY-4001;bryanpendleton;2009-04-16T02:43:29.721+0000;nice:1 clear:1 explanation:1 behavior:1 approach:1 thanks:1 much:1 putting:1 together:1
DERBY;Apache DB Committee;database;DERBY-4001;knutanders;2009-04-17T10:17:49.309+0000;test:4 cases:2 queries:2 comment:2 attaching:1 patch:1 adds:1 yet:1 enabled:1 bug:1 written:1 problematic:1 found:1 except:1 two:1 included:1 completeness:1 marked:1 fail:1 fixes:1 suggested:1 earlier:1 checks:1 correct:1 rows:1 returned:1 flattened:1 committed:1 revision:1
