Project;Manager;Category;Key;Author;CreationDate;Content
DIRKRB;Apache Directory Committee;security;DIRKRB-1;seelmann;2009-08-06T10:53:00.327+0000;rev:8 http:4 apache:4 view:4 fixed:2 server:1 bind:1
DIRKRB;Apache Directory Committee;security;DIRKRB-28;obi;2010-08-13T15:15:18.169+0000;patch:1 fixing:1 issue:1
DIRKRB;Apache Directory Committee;security;DIRKRB-28;akiran;2010-08-15T13:21:31.749+0000;changed:1 assignee:1 updated:1 version:1
DIRKRB;Apache Directory Committee;security;DIRKRB-28;akiran;2010-08-15T15:50:03.162+0000;rev:2 patch:1 applied:1 http:1 apache:1 view:1 thank:1
DIRKRB;Apache Directory Committee;security;DIRKRB-30;elecharny;2010-12-07T15:07:00.119+0000;fixed:1
DIRKRB;Apache Directory Committee;security;DIRKRB-80;akiran;2010-12-04T11:37:34.400+0000;rev:2 updated:1 use:1 renamed:1 fixed:1 branch:1 http:1 apache:1 view:1
DIRKRB;Apache Directory Committee;security;DIRKRB-81;elecharny;2012-01-24T11:05:20.845+0000;rev:2 fixed:1 http:1 apache:1 view:1
DIRKRB;Apache Directory Committee;security;DIRKRB-81;pamarcelot;2012-01-27T14:50:58.849+0000;opened:1 change:1 fix:1 version:1
DIRKRB;Apache Directory Committee;security;DIRKRB-81;pamarcelot;2012-01-27T14:52:04.787+0000;fixed:1 version:1 changed:1 closing:1 issue:1
DIRKRB;Apache Directory Committee;security;DIRKRB-84;elecharny;2012-01-27T00:44:07.260+0000;rev:2 fixed:1 http:1 apache:1 view:1
DIRKRB;Apache Directory Committee;security;DIRKRB-85;elecharny;2013-02-26T11:00:46.319+0000;attribute:1 available:1 http:1 apache:1
DIRKRB;Apache Directory Committee;security;DIRKRB-87;akiran;2013-02-12T14:31:46.348+0000;fixed:1 http:1 apache:1
DIRKRB;Apache Directory Committee;security;DIRKRB-91;smoyer1;2013-04-12T15:06:35.462+0000;java:30 apache:26 mina:18 core:15 directory:8 polling:5 run:4 access:3 grammar:2 bad:2 transition:2 state:2 tag:2 server:2 protocol:2 filter:2 process:2 concurrent:2 worker:2 thread:2 line:1 throwing:1 following:1 exception:1 error:1 shared:1 exceptions:1 integrity:1 check:1 decrypted:1 field:1 failed:1 libraries:1 flush:1 read:1 processor:1 caused:1 decode:1
DIRKRB;Apache Directory Committee;security;DIRKRB-91;elecharny;2013-04-12T17:48:05.328+0000;encrypted:1 get:1 exception:1 try:1
DIRKRB;Apache Directory Committee;security;DIRKRB-91;smoyer1;2013-04-17T17:43:45.977+0000;rep:3 mit:2 compatibility:2 tag:2 number:2 found:1 thread:1 describes:1 containing:1 http:1 help:1 invalid:1 linux:1 running:1 html:1 reference:1 section:1 pertinent:1 paragraph:1 quote:1 note:1 implementations:1 unconditionally:1 send:1 encrypted:1 application:1 field:1 regardless:1 reply:1 interest:1 may:1 relax:1 check:1 decrypted:1 part:1 apparently:1 widely:1 known:1 least:1 server:1 behavior:1
DIRKRB;Apache Directory Committee;security;DIRKRB-91;smoyer1;2013-04-17T17:50:03.409+0000;please:1 apply:1 patch:1 java:1 resolve:1 issue:1 adds:1 mit:1 compatibility:1 class:1
DIRKRB;Apache Directory Committee;security;DIRKRB-91;akiran;2013-04-17T18:20:46.319+0000;applied:1 patch:1 slight:1 modification:1 formatting:1 change:1 rev:1
DIRKRB;Apache Directory Committee;security;DIRKRB-91;elecharny;2013-04-18T07:21:45.378+0000;nonce:4 case:2 throw:2 new:2 received:2 match:2 sent:2 request:2 break:2 patch:1 works:1 wonder:1 slightly:1 different:1 better:1 null:1 switch:1 reading:1 fist:1 byte:1 decoded:1 part:1 ca:1 tell:1 spare:1 exception:1
DIRKRB;Apache Directory Committee;security;DIRKRB-92;akiran;2013-04-18T05:43:15.401+0000;applied:1 patch:1 rev:1 thank:1
