Project;Manager;Category;Key;Author;CreationDate;Content
FC;Apache Directory Committee;security;FC-6;elecharny;2014-10-28T12:22:26.934+0000;exception:1 occurs:1 bit:1 server:1 silver:1 deb:1
FC;Apache Directory Committee;security;FC-6;smckinney;2014-11-25T16:22:16.548+0000;closed:1 tied:1 bug:1
FC;Apache Directory Committee;security;FC-29;smckinney;2014-12-12T13:14:16.969+0000;string:3 opt:3 compare:2 attribute:2 new:2 fix:1 problem:1 need:1 add:1 proxy:1 control:1 operation:1 authorization:1 performed:1 using:1 unbound:1 private:1 static:1 final:1 protected:1 boolean:1 throws:1 counters:1 true:1 return:1
FC;Apache Directory Committee;security;FC-29;smckinney;2014-12-12T13:15:38.609+0000;operation:2 apache:2 compare:2 new:2 attribute:2 connection:2 response:2 perform:1 using:1 audit:1 proxy:1 control:1 right:1 string:1 directory:1 model:1 message:1 extended:1 return:1 success:1
FC;Apache Directory Committee;security;FC-33;smckinney;2014-10-29T15:38:51.960+0000;issue:1 old:1 https:1 fortress:1 net:1 browse:1
FC;Apache Directory Committee;security;FC-33;smckinney;2015-04-22T01:28:43.014+0000;regression:1 detected:1 inside:1 docker:1 container:1 tests:1
FC;Apache Directory Committee;security;FC-33;smckinney;2015-04-22T01:32:10.797+0000;fortress:7 core:6 apache:6 directory:5 java:5 framework:4 assert:4 dc:4 tests:3 running:2 time:2 elapsed:2 sec:2 failure:2 search:2 error:1 docker:1 build:1 info:1 sess:1 run:1 failures:1 errors:1 skipped:1 true:1 authorizations:1 user:1 fail:1 fails:1 using:1 filter:1 permissions:1 people:1 problem:1 access:1 log:1 entries:1 corresponding:1 failed:1
FC;Apache Directory Committee;security;FC-33;smckinney;2015-04-23T01:28:13.925+0000;audit:5 record:5 code:4 dc:4 regardless:3 operation:3 compare:3 authorization:2 permission:2 added:2 next:2 successful:2 perm:2 user:2 success:2 work:2 failure:2 object:2 command:2 line:2 explanation:1 fortress:1 works:1 first:1 read:1 enabled:1 method:1 invokes:1 node:1 triggers:1 failed:1 fails:1 result:1 supposed:1 add:1 database:1 search:1 occurs:1 use:1 case:1 differentiate:1 logs:1 problem:1 returning:1 succeeded:1 execute:1 succeeds:1 exact:1 parameter:1 values:1 x:1 manager:1 w:1 secret:1 h:1 p:1 permissions:1 sum:1 always:1 returns:1 attribute:1 value:1 get:1 correctly:1
FC;Apache Directory Committee;security;FC-33;smckinney;2015-04-23T02:35:47.037+0000;dc:12 message:10 compare:6 id:4 attribute:4 result:4 request:3 response:3 example:3 operation:2 running:2 suffix:2 debug:2 encoded:2 entry:2 permissions:2 description:2 value:2 failed:2 apache:2 directory:2 model:2 control:2 critical:2 true:2 people:2 code:2 matched:2 diagnostic:2 trace:1 test:1 case:1 successful:1 local:1 unsuccessful:1 docker:1 container:1
FC;Apache Directory Committee;security;FC-33;smckinney;2015-04-23T02:42:01.426+0000;compare:2 successful:1 unsuccessful:1
