Project;Manager;Category;Key;Author;CreationDate;Content
MRM;Apache Archiva Committee;build-management;MRM-1057;gautencio;2009-01-13T00:25:27.863+0000;replicated:1 continuum:1 filed:1 http:1 browse:1 issue:1
MRM;Apache Archiva Committee;build-management;MRM-1057;oching;2009-01-28T03:57:16.827+0000;already:1 resolved:1 fix:1 yet:1 included:1 latest:1 release:1 beta:1 writing:1
MRM;Apache Archiva Committee;build-management;MRM-1057;oching;2009-02-19T21:26:17.774+0000;verified:1 fixed:1 upgrading:1 snapshot:1
MRM;Apache Archiva Committee;build-management;MRM-1061;gautencio;2009-02-09T04:15:10.559+0000;cause:1 issue:1 effective:1 pom:1 loaded:1 http:1 browse:1 may:1 related:1 thanks:1
MRM;Apache Archiva Committee;build-management;MRM-1061;odehon;2009-03-01T08:43:22.681+0000;pom:5 effective:4 generated:2 artifact:2 alongside:2 present:2 one:1 possible:1 way:1 solving:1 require:1 artifacts:1 built:1 invocation:1 help:1 mojo:1 jar:1 inside:1 like:1 maven:1 actual:1 maybe:1 attach:1 file:1 project:1 gets:1 deployed:1 main:1 exploit:1 information:1 generate:1 index:1 db:1 info:1 behavior:1 remain:1 today:1 olivier:1
MRM;Apache Archiva Committee;build-management;MRM-1061;rsaddey;2009-05-21T11:12:03.765+0000;maven:3 repository:3 pom:2 e:2 instead:2 manager:2 rather:1 prefer:1 effective:1 stuff:1 equivalent:1 order:1 properly:1 interpret:1 model:1 version:1 opinion:1 supplying:1 additional:1 hints:1 within:1 project:1 non:1 standard:1 way:1 plain:1 hard:1 modify:1 existing:1 external:1 projects:1 inevitably:1 lead:1 chaos:1 confusion:1 maybe:1 integrate:1 emerging:1 dependency:1 tools:1 g:1 http:1 code:1 google:1 p:1 creating:1 one:1 last:1 least:1 wonder:1 cleaner:1 easier:1 separate:1 concerns:1 let:1 archiving:1 task:1 use:1 universal:1 viewer:1 used:1 first:1 thought:1 missing:1 managers:1 come:1 think:1 might:1 turn:1 bug:1 feature:1 thoughts:1
MRM;Apache Archiva Committee;build-management;MRM-1061;odehon;2009-05-21T17:06:41.378+0000;build:3 effective:3 pom:3 artifact:3 indexing:2 used:2 actual:2 talking:1 facility:1 viewing:1 archiving:1 way:1 tool:1 external:1 indexer:1 relevant:1 information:1 time:1 access:1 additional:1 hints:1 setup:1 version:1 seems:1 fairly:1 standard:1 maybe:1 even:1 jarring:1 nice:1 enhancement:1 maven:1 uses:1 construct:1 jars:1 wars:1 ears:1 helping:1 understand:1 environment:1 built:1 olivier:1
MRM;Apache Archiva Committee;build-management;MRM-1061;rsaddey;2009-05-21T19:16:56.598+0000;information:8 maven:6 build:5 within:5 artifact:5 repository:4 tree:4 indexing:3 additional:3 way:3 used:3 dependency:3 pom:3 alternative:3 format:2 artifacts:2 processes:2 repositories:2 time:2 demand:2 dependencies:2 actual:2 requires:2 bound:2 nodes:2 technical:1 process:1 end:1 index:1 self:1 contained:1 require:1 clients:1 successfully:1 retrieve:1 browse:1 indeed:1 accept:1 file:1 system:1 based:1 even:1 create:1 well:1 m2:1 basically:1 prepare:1 advance:1 otherwise:1 consuming:1 compute:1 stem:1 besides:1 internal:1 possibly:1 efficiently:1 implementing:1 automatic:1 purges:1 groups:1 virtual:1 humans:1 continuous:1 systems:1 benefit:1 structural:1 like:1 two:1 choices:1 derive:1 stated:1 interpolated:1 however:1 comprehensive:1 access:1 reactor:1 performing:1 knowledge:1 specify:1 describe:1 incorporated:1 results:1 supplied:1 non:1 agreed:1 small:1 incomplete:1 showing:1 vertices:1 unknown:1 probably:1 lack:1 required:1 complete:1 e:1 g:1 present:1 order:1 relevant:1 use:1 implemented:1 local:1 fashion:1 instead:1 cooperation:1 far:1 beyond:1 reach:1 manager:1 solely:1 accepts:1 produced:1 hudson:1 continuum:1 builders:1 data:1 provide:1 help:1 us:1 understand:1 producing:1 meantime:1 stick:1 try:1 extract:1 reflects:1 semantics:1 truly:1 possible:1 opinion:1 suggestion:1 appears:1 fit:1 bill:1
MRM;Apache Archiva Committee;build-management;MRM-1061;odehon;2009-05-21T20:36:37.667+0000;pom:4 names:2 dependencies:2 also:2 indexing:1 searching:1 one:1 important:1 features:1 use:1 provides:1 ability:1 developer:1 retrieve:1 artifacts:1 based:1 method:1 package:1 used:1 working:1 properly:1 allow:1 perform:1 impact:1 analysis:1 report:1 statistics:1 shared:1 components:1 usage:1 possibilities:1 endless:1 simple:1 common:1 case:1 dependency:1 versions:1 defined:1 section:1 parent:1 enough:1 render:1 search:1 feature:1 useless:1 let:1 alone:1 dependent:1 activation:1 profile:1 understand:1 using:1 output:1 help:1 effective:1 agreed:1 even:1 better:1 wonder:1 nexus:1 deals:1
MRM;Apache Archiva Committee;build-management;MRM-1061;brettporter;2010-02-23T03:25:33.515+0000;testing:1
