Project;Manager;Category;Key;Author;CreationDate;Content
NUTCH;Apache Nutch Committee;web-framework;NUTCH-678;dogacan;2009-01-19T13:49:23.686+0000;agree:1 hurt:1 upgrade:1 confirm:1 old:1 version:1 problem:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-678;jnioche;2009-01-19T14:05:29.119+0000;confirm:1 upgrading:1 fixed:1 problem:1 getting:1 exception:1 longer:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-678;dogacan;2009-01-19T17:10:10.257+0000;ok:1 fixed:1 rev:1 thanks:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-678;hudson;2009-01-20T04:15:55.039+0000;trunk:2 hudson:2 integrated:1 see:1 http:1 zones:1 apache:1 job:1 requires:1 update:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-681;wildan.m;2009-01-20T09:16:37.670+0000;please:1 check:1 patch:1 submitted:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-681;wildan.m;2009-01-21T08:29:17.377+0000;test:1 patch:1 works:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-681;dogacan;2009-01-21T12:59:20.363+0000;issue:2 resolve:1 resolved:1 e:1 relevant:1 commits:1 made:1 trunk:1 patch:1 submitted:1 works:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-681;dogacan;2009-01-21T13:10:35.827+0000;patch:1 fine:1 committed:1 rev:1 cleanup:1 also:1 updated:1 parse:1 unit:1 test:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-681;wildan.m;2009-01-22T03:29:18.725+0000;sorry:1 new:1 people:1 thanks:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-681;hudson;2009-01-22T04:15:32.346+0000;trunk:2 hudson:2 integrated:1 see:1 http:1 zones:1 apache:1 job:1 parse:1 compilation:1 problem:1 patch:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-682;dogacan;2009-01-29T19:12:34.816+0000;obviously:1 correct:1 believe:1 missed:1 committed:1 rev:1 thanks:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-682;hudson;2009-01-30T04:19:46.521+0000;trunk:2 hudson:2 integrated:1 see:1 http:1 zones:1 apache:1 job:1 indexer:1 set:1 boost:1 document:1 patch:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-683;dogacan;2009-01-29T19:45:42.774+0000;patch:1 issue:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-683;ab;2009-02-06T13:34:49.538+0000;
NUTCH;Apache Nutch Committee;web-framework;NUTCH-683;dogacan;2009-02-11T09:14:03.258+0000;fixed:1 rev:1
NUTCH;Apache Nutch Committee;web-framework;NUTCH-683;hudson;2009-02-12T04:13:38.134+0000;trunk:2 hudson:2 integrated:1 see:1 http:1 zones:1 apache:1 job:1 broke:1
