Project;Manager;Category;Key;Author;CreationDate;Content
SSHD;Apache MINA Committee;network-server;SSHD-12;gnt;2009-02-06T08:47:05.980+0000;java:2 sending:1 trunk:1 main:1 apache:1 server:1 session:1 transmitting:1 file:1 data:1 committed:1 revision:1
SSHD;Apache MINA Committee;network-server;SSHD-14;gnt;2009-02-10T08:18:49.831+0000;java:2 sending:1 trunk:1 main:1 apache:1 server:1 session:1 transmitting:1 file:1 data:1 committed:1 revision:1
SSHD;Apache MINA Committee;network-server;SSHD-14;spearce;2009-04-17T23:29:48.046+0000;p:6 master:5 r:3 h:3 true:2 still:1 happens:1 using:1 v:1 oct:1 n:1 start:1 process:1 runs:1 fine:1 barfs:1 bad:1 id:1 channel:1 free:1 unknown:1
SSHD;Apache MINA Committee;network-server;SSHD-14;spearce;2009-04-18T00:37:10.262+0000;patch:1 context:1 assumes:1 already:1 applied:1
SSHD;Apache MINA Committee;network-server;SSHD-14;gnt;2009-04-18T07:26:26.014+0000;java:2 sending:1 main:1 apache:1 server:1 channel:1 transmitting:1 file:1 data:1 committed:1 revision:1
SSHD;Apache MINA Committee;network-server;SSHD-15;jgoodyear;2009-02-11T20:43:42.441+0000;error:1 occurs:1 putty:1 gui:1 used:1 well:1 note:1 also:1 result:1 using:1 default:1 port:1 kernel:1 x:1
SSHD;Apache MINA Committee;network-server;SSHD-15;gnt;2009-03-20T14:07:09.790+0000;unable:1 reproduce:1 issue:1 latest:1 trunk:1 kernel:1 still:1 uses:1 old:1 code:1 google:1 need:1 test:1 upgraded:1
SSHD;Apache MINA Committee;network-server;SSHD-15;hans.couder@gmail.com;2009-05-27T10:54:29.061+0000;java:27 apache:20 session:14 mina:13 core:12 info:9 common:8 server:7 cipher:6 polling:5 key:4 run:4 kernel:3 received:3 snapshot:2 log:2 security:2 illegal:2 size:2 host:2 warn:2 send:2 access:2 process:2 concurrent:2 worker:2 thread:2 tried:1 test:1 case:1 windows:1 vista:1 trying:1 connect:1 putty:1 automatically:1 closed:1 tracked:1 created:1 generating:1 client:1 version:1 string:1 timer:1 x:1 unsupported:1 deployment:1 c:1 users:1 exception:1 caught:1 decode:1 read:1 processor:1 closing:1
SSHD;Apache MINA Committee;network-server;SSHD-15;gnt;2009-06-08T07:00:33.593+0000;committed:1 patch:1 mind:1 trying:1 windows:1 vista:1
SSHD;Apache MINA Committee;network-server;SSHD-15;jgoodyear;2009-06-11T13:41:56.432+0000;appears:2 vista:2 hosted:2 connected:2 putty:2 characters:2 transfered:2 correctly:2 feature:1 work:1 notes:1 text:1 may:1 displayed:1 issue:1 application:1 embedded:1 however:1
SSHD;Apache MINA Committee;network-server;SSHD-16;gnt;2009-03-30T19:13:06.618+0000;java:4 sending:2 apache:2 issue:2 main:1 common:1 session:1 test:1 transmitting:1 file:1 data:1 committed:1 revision:1 think:1 commit:1 fixes:1 language:1 tags:1 optional:1 page:1 give:1 try:1 close:1 works:1 awesome:1
SSHD;Apache MINA Committee;network-server;SSHD-16;gertvanthienen;2009-04-10T09:26:00.446+0000;works:1 like:1 charm:1 thanks:1
