Project;Manager;Category;Key;Author;CreationDate;Content
STORM;Apache Storm Committee;big-data;STORM-75;ptgoetz;2014-01-09T01:43:13.313+0000;corresponding:1 pull:1 request:1 issue:1 already:1 merged:1
STORM;Apache Storm Committee;big-data;STORM-87;githubbot;2014-03-11T16:19:49.803+0000;storm:7 pull:6 https:4 request:3 apache:3 incubator:3 commit:3 fail:2 fast:2 exception:2 git:2 patch:2 user:1 opened:1 issue:1 issues:1 browse:1 merge:1 repository:1 running:1 alternatively:1 review:1 apply:1 changes:1 close:1 make:1 master:1 trunk:1 branch:1 least:1 following:1 message:1 closes:1 author:1 tiger:1 date:1
STORM;Apache Storm Committee;big-data;STORM-87;githubbot;2014-06-12T22:02:04.290+0000;storm:3 exception:3 pull:2 private:2 void:2 log:2 user:1 commented:1 request:1 https:1 apache:1 incubator:1 core:1 task:1 java:1 map:1 action:1 throws:1 die:1 info:1 halting:1 process:1 died:1 end:1 make:1 error:1 least:1
STORM;Apache Storm Committee;big-data;STORM-87;githubbot;2014-07-01T18:16:48.898+0000;exception:4 storm:3 pull:2 private:2 void:2 halt:2 user:1 commented:1 request:1 https:1 apache:1 incubator:1 core:1 task:1 java:1 map:1 action:1 throws:1 die:1 log:1 info:1 halting:1 process:1 died:1 end:1 ways:1 cleanly:1 handling:1 system:1 exit:1 switch:1 instead:1
STORM;Apache Storm Committee;big-data;STORM-87;githubbot;2014-07-19T16:33:38.136+0000;storm:3 exception:3 pull:2 private:2 void:2 user:1 commented:1 request:1 https:1 apache:1 incubator:1 core:1 task:1 java:1 map:1 action:1 throws:1 die:1 log:1 info:1 halting:1 process:1 died:1 end:1 good:1 idea:1
STORM;Apache Storm Committee;big-data;STORM-87;githubbot;2014-07-19T16:33:55.462+0000;exception:4 storm:3 pull:2 private:2 void:2 user:1 commented:1 request:1 https:1 apache:1 incubator:1 core:1 task:1 java:1 map:1 action:1 throws:1 die:1 log:1 info:1 halting:1 process:1 died:1 halt:1 end:1 ok:1
STORM;Apache Storm Committee;big-data;STORM-87;githubbot;2014-07-19T16:44:59.996+0000;pull:2 user:1 commented:1 request:1 https:1 apache:1 incubator:1 storm:1 update:1 code:1 according:1 comment:1
STORM;Apache Storm Committee;big-data;STORM-87;githubbot;2014-07-19T16:50:35.420+0000;storm:4 exit:4 log:4 process:3 pull:2 https:2 apache:2 incubator:2 use:2 message:2 error:2 msg:2 user:1 commented:1 request:1 checking:1 new:1 function:1 find:1 generate:1 info:1 level:1 suitable:1 serious:1 blob:1 master:1 core:1 halting:1
STORM;Apache Storm Committee;big-data;STORM-87;githubbot;2014-07-21T16:04:47.968+0000;pull:3 user:1 commented:1 request:1 https:1 apache:1 incubator:1 storm:1 agree:1 log:1 error:1 appropriate:1 want:1 part:1 separate:1 one:1 either:1 way:1 change:1
STORM;Apache Storm Committee;big-data;STORM-87;githubbot;2014-07-22T23:30:01.765+0000;pull:3 user:1 commented:1 request:1 https:1 apache:1 incubator:1 storm:1 ok:1 update:1 include:1 log:1 error:1 change:1
STORM;Apache Storm Committee;big-data;STORM-87;githubbot;2014-07-29T15:38:54.613+0000;pull:2 user:1 commented:1 request:1 https:1 apache:1 incubator:1 storm:1 looks:1 like:1 needs:1 merge:1
STORM;Apache Storm Committee;big-data;STORM-87;githubbot;2014-08-07T09:27:09.668+0000;pr:5 pull:3 storm:3 code:3 https:2 apache:2 incubator:2 problem:2 user:1 commented:1 request:1 found:1 current:1 die:1 function:1 describe:1 think:1 resolve:1 based:1 old:1 modify:1 copy:1 new:1 change:1 solve:1 close:1
