Project;Manager;Category;Key;Author;CreationDate;Content
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-1;ilgrosso;2012-02-27T08:23:24.785+0000;issue:2 version:2 reopening:1 workflow:1 decided:1 fixed:1 goes:1 resolved:1 status:1 release:1 close:1 issues:1 related:1
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-1;ilgrosso;2012-04-27T07:54:02.585+0000;bulk:1 closing:1 incubating:1
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-3;simone.tripodi;2012-02-24T19:45:49.710+0000;http:4 issues:2 version:2 suggest:1 adopt:1 workflow:1 adopted:1 maven:1 commons:1 issue:1 fixed:1 goes:1 resolved:1 status:1 release:1 close:1 related:1 sound:1 best:1 people:1 apache:1 twitter:1 www:1
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-3;maurizio.cucchiara;2012-02-24T19:51:38.881+0000;sounds:1 good:1 workflow:1 use:1 adopt:1 work:1
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-3;elecharny;2012-02-25T23:13:44.932+0000;one:2 close:2 usually:1 opened:1 issue:1 allows:1 users:1 check:1 resolution:1 correct:1 project:1 becomes:1 think:1 safe:1 issues:1 release:1 done:1
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-3;ilgrosso;2012-02-27T08:20:43.348+0000;used:1 slightly:1 different:1 workflow:1 issue:1 tracker:1 always:1 space:1 learn:1 read:1 reasons:1 course:1 projects:1 agree:1 going:1 reopen:1 issues:1 closed:1 days:1 including:1 current:1 one:1 thanks:1
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-3;ilgrosso;2012-02-27T08:22:38.207+0000;issue:2 version:2 reopening:1 workflow:1 decided:1 fixed:1 goes:1 resolved:1 status:1 release:1 close:1 issues:1 related:1
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-3;ilgrosso;2012-04-27T07:43:01.151+0000;bulk:1 closing:1 incubating:1
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-8;simone.tripodi;2012-02-27T12:29:46.866+0000;http:4 hi:1 closing:1 issue:1 te:1 resolution:1 comment:1 nice:1 including:1 also:1 revision:1 number:1 fix:1 contained:1 link:1 find:1 commit:1 message:1 give:1 details:1 review:1 patch:1 people:1 apache:1 twitter:1 www:1
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-8;ilgrosso;2012-02-27T12:32:51.275+0000;subversion:4 commits:4 issue:2 hum:1 make:1 particularly:1 happy:1 enough:1 purpose:1 mean:1 https:1 issues:1 apache:1 browse:1 syncope:1 page:1 tabs:1 example:1 fixed:1 two:1 duplicating:1 information:1 contained:1 section:1
SYNCOPE;Apache Syncope Committee;security;SYNCOPE-8;simone.tripodi;2012-02-27T13:01:46.976+0000;http:4 forgot:1 automatic:1 comment:1 enabled:1 please:1 forget:1 people:1 apache:1 twitter:1 www:1
