Project;Manager;Category;Key;Author;CreationDate;Content
TIKA;Apache Tika Committee;library;TIKA-185;arusin;2009-01-08T15:41:26.629+0000;blah:2 protocol:2 minimal:1 test:1 case:1 issue:1 present:1 time:1 extracting:1 content:1 works:1 ok:1 otherwise:1 always:1 fails:1 chrome:1 defined:1 however:1 exist:1 files:1 using:1
TIKA;Apache Tika Committee;library;TIKA-185;jukkaz;2009-01-09T00:20:54.447+0000;input:3 probably:1 prevent:1 parsers:1 invokes:1 trying:1 access:1 external:1 entities:1 parsing:1 file:1 formats:1 matter:1 content:1 extraction:1 stream:1 metadata:1 passed:1 parse:1 method:1
TIKA;Apache Tika Committee;library;TIKA-185;chrismattmann;2009-01-09T00:39:38.708+0000;think:1 open:1 whole:1 horde:1 tangential:1 issues:1 dealing:1 external:1 validation:1 protocols:1 let:1 apply:1 kiss:1 principles:1 perhaps:1 attacked:1 protocol:1 layer:1 fashion:1 cheers:1
TIKA;Apache Tika Committee;library;TIKA-185;thetaphi;2009-01-09T09:04:23.815+0000;parser:3 problem:2 fix:1 files:1 coming:1 exactly:1 principal:1 used:1 opinion:1 general:1 case:1 handled:1 application:1 level:1 passes:1 file:1 e:1 g:1 using:1 additional:1 content:1 handler:1 decorator:1 handles:1 external:1 entities:1 ok:1 type:1 documents:1
TIKA;Apache Tika Committee;library;TIKA-185;arusin;2009-01-09T09:23:59.926+0000;entities:5 external:4 parser:3 factory:3 features:3 files:2 like:2 http:2 sax:2 false:2 agree:1 prevent:1 accessing:1 reasons:1 means:1 guarantee:1 existence:1 flat:1 situation:1 gets:1 even:1 worse:1 inside:1 zip:1 strange:1 protocols:1 chrome:1 trying:1 fix:1 problem:1 adding:1 work:1 maybe:1 smart:1 enough:1 new:1 parse:1 also:1 experimented:1 general:1 parameter:1 exception:1 became:1 different:1 still:1 resolve:1
TIKA;Apache Tika Committee;library;TIKA-185;arusin;2009-01-09T09:28:06.881+0000;imagine:1 passing:1 handling:1 decorator:1 safe:1 possible:1 default:1
TIKA;Apache Tika Committee;library;TIKA-185;peter.becker.de;2009-01-09T10:52:40.443+0000;java:4 code:2 seems:2 http:2 net:2 trunk:2 applications:2 source:2 revision:2 view:2 markup:2 believe:1 colleagues:1 working:1 problem:1 solved:1 ago:1 remember:1 details:1 looking:1 old:1 ended:1 implementing:1 subclass:1 sax:1 calling:1 class:1 commit:1 message:1 claims:1 parser:1 ignores:1 external:1 references:1 completely:1 safe:1 way:1 make:1 sure:1 run:1 problems:1 might:1 useful:1 stuff:1 directory:1 really:1 worked:1 lately:1 know:1 capabilities:1 detail:1 either:1
TIKA;Apache Tika Committee;library;TIKA-185;thetaphi;2009-01-09T11:33:08.633+0000;url:5 return:5 entity:4 parser:4 empty:4 code:3 must:3 external:3 entities:3 resolving:3 resolved:2 like:2 work:2 try:2 mechanism:2 get:2 may:2 included:1 principle:1 provide:1 general:1 copied:1 given:1 problem:1 sometimes:1 example:1 contain:1 externally:1 defined:1 file:1 linked:1 lot:1 information:1 lost:1 opinion:1 resolve:1 new:1 malformed:1 works:1 result:1 urls:1 extensions:1 occur:1 system:1 id:1 also:1 fails:1 tries:1 much:1 returning:1 makes:1 invalid:1 stops:1 later:1 break:1 create:1 patch:1 include:1 directly:1 removed:1 one:1 reader:1 reused:1
TIKA;Apache Tika Committee;library;TIKA-185;arusin;2009-01-09T11:39:25.984+0000;agree:1 system:1 entities:1 processed:1 possible:1 think:1 approach:1 perfect:1
TIKA;Apache Tika Committee;library;TIKA-185;arusin;2009-01-09T12:01:15.583+0000;concerned:2 system:2 entities:2 agreed:1 ideas:1 contrary:1 security:1 simplicity:1 totally:1 ignore:1 content:1 try:1 resolve:1 think:1 behaviour:1 made:1 means:1 file:1
TIKA;Apache Tika Committee;library;TIKA-185;jukkaz;2009-01-09T13:36:11.945+0000;external:3 default:2 strongly:1 resolving:1 references:1 least:1 opens:1 whole:1 worms:1 example:1 make:1 reference:1 pretty:1 much:1 breaks:1 simple:1 input:1 output:1 contract:1 parse:1 method:1 configuration:1 option:1 enables:1 entity:1 resolution:1 definitely:1
TIKA;Apache Tika Committee;library;TIKA-185;davemeikle;2009-01-09T18:01:37.387+0000;resolving:1 external:1 references:1 appears:1 sought:1 feature:1 need:1 think:1 carefully:1 including:1 definitely:1 default:1
TIKA;Apache Tika Committee;library;TIKA-185;jukkaz;2009-01-15T23:56:28.045+0000;decorator:2 parser:2 fixed:1 revision:1 implemented:1 class:1 makes:1 silently:1 replace:1 external:1 entities:1 nothing:1 used:1 places:1 uses:1 input:1 documents:1 also:1 enable:1 secure:1 processing:1 feature:1 designed:1 prevent:1 bombs:1 breaking:1 system:1 http:1 java:1 sun:1 docs:1 html:1
TIKA;Apache Tika Committee;library;TIKA-189;georger_br;2009-01-17T18:53:17.299+0000;excel:1 file:1 xls:1 used:1 reproduce:1 bug:1
TIKA;Apache Tika Committee;library;TIKA-189;kumarraja.j;2009-01-22T14:20:02.954+0000;handler:5 files:3 modified:2 add:2 space:2 characters:2 entry:2 office:2 types:2 hi:1 face:1 issue:1 xls:1 character:1 cell:1 value:1 search:1 engines:1 use:1 problem:1 even:1 modification:1 creates:1 code:1 x:1 render:1 added:1 line:1 love:1 know:1 getting:1 parsed:1 zip:1 latest:1 version:1 apache:1 poi:1 parses:1 documents:1 document:1 mime:1 file:1
TIKA;Apache Tika Committee;library;TIKA-189;georger_br;2009-01-22T16:25:48.882+0000;files:2 hi:1 tried:1 patch:1 worked:1 great:1 xls:1 happen:1 know:1 change:1 well:1 regards:1
TIKA;Apache Tika Committee;library;TIKA-189;thetaphi;2009-01-22T17:13:10.368+0000;files:4 java:4 xls:2 text:2 apache:2 sax:2 characters:2 resolves:1 supported:1 moment:1 handled:1 parts:1 extracted:1 extra:1 outputted:1 using:1 table:1 tags:1 extension:1 see:1 http:1 trunk:1 main:1 view:1 automatically:1 inserts:1 n:1 tab:1 handler:1 listens:1 gets:1 good:1 working:1 stream:1
TIKA;Apache Tika Committee;library;TIKA-189;georger_br;2009-01-22T17:27:46.339+0000;output:4 saw:2 text:2 nice:2 hi:1 read:1 really:1 solve:1 problem:1 used:1 parameter:1 apply:1 patch:1 integrate:1 way:1 people:1 forced:1 use:1 indexing:1 engine:1 example:1 coax:1 index:1 content:1 parsing:1 correct:1 single:1 step:1 better:1 files:1 poi:1 supports:1 latest:1 beta:1 see:1 support:1 well:1 thanks:1 taking:1 time:1 investigate:1 issue:1
TIKA;Apache Tika Committee;library;TIKA-189;thetaphi;2009-01-22T20:53:25.941+0000;problem:1 another:1 one:1 current:1 pass:1 output:1 stream:1 text:1 outputs:1 applied:1 forget:1 implement:1 thanks:1 worked:1
TIKA;Apache Tika Committee;library;TIKA-189;thetaphi;2009-01-22T20:55:16.609+0000;missed:1 implement:1
TIKA;Apache Tika Committee;library;TIKA-189;georger_br;2009-01-22T23:05:40.775+0000;hi:1 checked:1 latest:1 code:1 applied:1 patch:1 rebuilt:1 got:1 output:1
TIKA;Apache Tika Committee;library;TIKA-189;thetaphi;2009-01-23T08:25:42.849+0000;problem:2 issue:2 table:2 new:2 bug:2 hi:1 sorry:1 fault:1 tested:1 local:1 open:1 office:1 file:1 even:1 output:1 looks:1 wrong:1 tooth:1 fairy:1 see:1 seems:1 forgets:1 insert:1 element:1 investigate:1 little:1 bit:1 sure:1 poi:1 error:1 cell:1 loop:1 small:1 found:1 handling:1
TIKA;Apache Tika Committee;library;TIKA-189;georger_br;2009-01-23T11:55:21.315+0000;poi:3 hi:1 tried:1 hand:1 came:1 patch:1 https:1 issues:1 apache:1 id:1 output:1 gives:1 want:1 rather:1 use:1 single:1 jar:1 command:1 line:1 stay:1 away:1 messing:1 hope:1 helpful:1 way:1 also:1 already:1 using:1 beta:1 second:1 ask:1 support:1 office:1 files:1
TIKA;Apache Tika Committee;library;TIKA-189;jukkaz;2009-01-24T08:33:32.117+0000;see:2 thanks:1 work:1 give:1 patches:1 go:1 weekend:1 office:1 correct:1 yet:1 directly:1 support:1 files:1 patch:1 starting:1 point:1 get:1 also:1 committed:1 trunk:1
TIKA;Apache Tika Committee;library;TIKA-189;thetaphi;2009-01-24T09:48:55.066+0000;problem:2 hi:1 issue:1 currently:1 solved:1 patch:1 duplicate:1 new:1 excel:1 files:1 complicated:1 bug:1 suggested:1 beginning:1 error:1 cell:1 loop:1 misses:1 give:1 cells:1 good:1 apply:1 thanks:1
