Project;Manager;Category;Key;Author;CreationDate;Content
VCL;Apache VCL Committee;cloud;VCL-14;fapeeler;2009-01-06T19:32:57.116+0000;image:5 reset:4 limit:2 process:2 size:2 large:2 increases:2 rev:2 issue:1 need:1 probably:1 remove:1 notify:1 statement:1 reduce:1 much:1 lower:1 background:1 checks:1 captured:1 confirms:1 state:1 node:1 boot:1 get:1 good:1 chance:1 creation:1 reported:1 failed:1 fix:1 date:1 wed:1 dec:1 new:1 revision:1 url:1 http:1 apache:1 view:1 log:1 routine:1 captures:1 gets:1 hit:1
VCL;Apache VCL Committee;cloud;VCL-14;fapeeler;2009-01-06T19:44:25.891+0000;reduced:1 limit:1 write:1 notify:1 string:1 log:1
VCL;Apache VCL Committee;cloud;VCL-26;arkurth;2009-01-16T19:11:11.191+0000;pm:8 subroutine:3 return:3 incubator:3 trunk:3 new:2 rev:2 error:2 values:2 updated:2 reserved:2 old:2 author:1 date:1 fri:1 jan:1 revision:1 url:1 http:1 apache:1 view:1 log:1 fixed:1 redefined:1 messages:1 changed:1 undefined:1 occurred:1 remote:1 ip:1 set:1 makes:1 consistent:1 rest:1 code:1 use:1 instead:1 one:1 also:1 recognize:1 removed:1 modified:1
VCL;Apache VCL Committee;cloud;VCL-27;fapeeler;2014-07-14T19:41:57.127+0000;image:3 core:1 issue:1 appears:1 resolved:1 previously:1 ids:1 returned:1 returns:1 id:1 current:1 reservation:1
VCL;Apache VCL Committee;cloud;VCL-27;fapeeler;2014-07-15T18:30:35.229+0000;opening:1 found:1 issue:1 routine:1
VCL;Apache VCL Committee;cloud;VCL-34;jfthomps;2009-02-20T18:51:17.947+0000;actually:1 fixed:1 transfer:1 code:1 revision:1 old:1
VCL;Apache VCL Committee;cloud;VCL-36;fapeeler;2009-01-08T18:33:30.487+0000;fixed:1 added:1
VCL;Apache VCL Committee;cloud;VCL-38;arkurth;2009-01-09T20:28:53.731+0000;fixed:1 commit:1
VCL;Apache VCL Committee;cloud;VCL-39;arkurth;2009-01-09T21:51:13.388+0000;fixed:1 revision:1
VCL;Apache VCL Committee;cloud;VCL-40;arkurth;2009-01-09T21:55:55.128+0000;fixed:1 revision:1
VCL;Apache VCL Committee;cloud;VCL-47;fapeeler;2009-01-09T19:49:17.727+0000;replaced:1 strings:1 conditional:1 checks:1 windows:1 correctly:1 determine:1 public:1 ip:1 address:1 users:1
VCL;Apache VCL Committee;cloud;VCL-48;arkurth;2009-01-13T15:55:52.912+0000;fixed:1 revision:1
VCL;Apache VCL Committee;cloud;VCL-49;arkurth;2009-01-14T16:04:27.661+0000;fixed:1 commit:1
VCL;Apache VCL Committee;cloud;VCL-52;arkurth;2009-01-14T17:16:49.654+0000;fixed:1 revision:1
VCL;Apache VCL Committee;cloud;VCL-54;jfthomps;2009-01-16T14:09:28.310+0000;remaining:1 places:1 used:1 disabling:1 referrals:1 updated:1
VCL;Apache VCL Committee;cloud;VCL-58;arkurth;2009-01-16T18:10:20.891+0000;file:8 pm:5 image:5 log:3 files:3 new:2 rev:2 modified:2 exists:2 returns:2 added:2 author:1 date:1 fri:1 jan:1 revision:1 url:1 http:1 apache:1 view:1 returning:1 undefined:1 causing:1 fail:1 reservation:1 unnecessarily:1 deletes:1 orphaned:1 exist:1 creates:1 subroutines:1 changed:1 locations:1 use:1 previously:1 copying:1 argument:1 display:1 output:1 ls:1 call:1 command:1 lists:1 remote:1 library:1 contents:1 adding:1 lot:1 useless:1 lines:1 improved:1 comments:1 messages:1 incubator:1 trunk:1 module:1 provisioning:1
VCL;Apache VCL Committee;cloud;VCL-64;arkurth;2009-06-19T19:56:34.077+0000;removed:1 calls:1 associated:1 files:1 commit:1
VCL;Apache VCL Committee;cloud;VCL-69;jfthomps;2009-01-28T15:56:14.507+0000;added:2 table:2 set:2 affiliation:1 upgrading:1 affiliations:1 use:1 besides:1 shibboleth:1 field:1 part:1 following:1 example:1
VCL;Apache VCL Committee;cloud;VCL-69;jfthomps;2009-02-04T19:25:22.389+0000;forgot:1 process:1 open:1 resolve:1 close:1
VCL;Apache VCL Committee;cloud;VCL-71;arkurth;2009-01-30T17:23:21.708+0000;fixed:1 revision:1
VCL;Apache VCL Committee;cloud;VCL-74;arkurth;2009-01-30T18:16:26.071+0000;fixed:1 revision:1
VCL;Apache VCL Committee;cloud;VCL-75;arkurth;2009-06-19T19:57:39.705+0000;resolved:1 code:1 working:1 seen:1 incorrect:1 exit:1 status:1 cause:1 problem:1 quite:1
VCL;Apache VCL Committee;cloud;VCL-76;jfthomps;2009-02-02T16:00:41.475+0000;fixed:1
VCL;Apache VCL Committee;cloud;VCL-83;fapeeler;2009-02-10T20:53:51.006+0000;assigned:3 node:1 need:1 reloaded:1 based:1 task:1 added:1 conditional:1 check:1 database:1 vs:1 update:1 accordingly:1
VCL;Apache VCL Committee;cloud;VCL-85;arkurth;2009-02-09T14:37:07.882+0000;error:1
VCL;Apache VCL Committee;cloud;VCL-86;fapeeler;2014-11-06T20:39:52.708+0000;user:1 connection:1 code:1 moved:1 os:1 pm:1 module:1 routine:1
VCL;Apache VCL Committee;cloud;VCL-87;fapeeler;2009-02-10T20:54:56.257+0000;changed:1 call:1 variable:1 use:1 request:1 information:1
VCL;Apache VCL Committee;cloud;VCL-96;jfthomps;2009-02-18T16:04:45.972+0000;see:1 comments:1
