Project;Manager;Category;Key;Author;CreationDate;Content
VYSPER;Apache MINA Committee;network-server;VYSPER-2;brainlounge;2010-04-29T07:23:35.104+0000;tags:1 long:1 gone:1
VYSPER;Apache MINA Committee;network-server;VYSPER-17;mjakl;2009-04-25T09:41:47.090+0000;apache:2 central:1 persistence:1 layer:1 good:1 idea:1 used:1 many:1 different:1 parts:1 system:1 concerning:1 see:1 implementation:1 http:1 site:1 index:1 html:1 hand:1 simple:1 interface:1 cover:1 requirements:1
VYSPER;Apache MINA Committee;network-server;VYSPER-17;brainlounge;2009-04-25T11:07:44.714+0000;every:3 storage:3 implementation:3 many:2 currently:2 implementing:2 using:2 working:2 service:1 extension:1 needs:1 defines:1 interface:1 defining:1 operations:1 agnostic:1 underlying:1 vertical:1 want:1 good:1 right:1 user:1 accounts:1 roster:1 come:1 optional:1 extensions:1 single:1 somebody:1 let:1 say:1 possible:1 start:1 one:1 may:1 chose:1 mix:1 different:1 kinds:1 performance:1 testing:1 whatever:1 reasons:1 need:1 mechanism:1 easily:1 plug:1 together:1 first:1 pattern:1 open:1 suggestions:1 soon:1 commit:1 review:1
VYSPER;Apache MINA Committee;network-server;VYSPER-17;mjakl;2009-04-25T11:53:12.133+0000;one:6 pms:3 layer:2 switch:2 storage:2 see:1 came:1 pattern:1 floating:1 around:1 gets:1 assigned:1 matching:1 right:1 thinking:1 persistency:1 uses:1 want:1 bit:1 deterred:1 idea:1 implementing:1 die:1 extension:1 advantage:1 interface:1 extensions:1 server:1 choose:1 needs:1 disadvantage:1 course:1 order:1 mix:1 general:1 manner:1 take:1 extra:1 steps:1 essentially:1 kind:1 use:1 first:1 place:1 great:1 think:1
VYSPER;Apache MINA Committee;network-server;VYSPER-17;brainlounge;2009-04-25T19:01:54.404+0000;want:7 storage:6 extension:5 specific:4 different:3 people:3 kind:3 memory:3 try:2 typically:2 mix:2 example:2 test:2 maybe:2 even:2 might:2 implement:2 interface:2 use:2 every:2 two:2 need:2 sure:1 get:1 suggest:1 rephrase:1 experiences:1 james:1 often:1 writing:1 unit:1 mock:1 embedded:1 easily:1 derby:1 jackrabbit:1 large:1 scale:1 choose:1 someone:1 mailing:1 privately:1 exist:1 atm:1 programming:1 say:1 message:1 archiving:1 able:1 developer:1 define:1 agnostic:1 lock:1 sake:1 running:1 using:1 run:1 access:1 programmer:1 add:1 somebody:1 users:1 bound:1 existing:1 preferred:1 ones:1 extensions:1 please:1 note:1 uses:1 class:1 provides:1 common:1 routines:1 invents:1 wheel:1 currently:1 one:1 temp:1 user:1 authentication:1 roster:1 thing:1 mechanisms:1 start:1 diverge:1 terms:1 work:1 file:1 based:1 latter:1 modern:1 distributed:1 approaches:1 provide:1 scalable:1 approach:1 kinds:1 mapping:1 document:1 easier:1 understand:1
VYSPER;Apache MINA Committee;network-server;VYSPER-17;brainlounge;2009-05-13T19:43:22.796+0000;done:1
VYSPER;Apache MINA Committee;network-server;VYSPER-19;mjakl;2009-04-26T20:42:46.746+0000;module:5 tests:2 run:2 added:2 initialized:2 patch:1 resolve:1 issue:1 note:1 initializes:1 semantics:1 changed:1 slightly:1 using:1 gets:1 next:1 considered:1 still:1
VYSPER;Apache MINA Committee;network-server;VYSPER-19;brainlounge;2009-04-27T10:33:31.632+0000;initialize:3 working:2 thanks:1 patch:1 ran:1 issue:1 call:1 fix:1 copy:1 point:1 run:1 modules:1 added:1 see:1 module:1 keep:1 open:1 tested:1 locally:1 maybe:1 try:1 separate:1 commit:1 acceptable:1
VYSPER;Apache MINA Committee;network-server;VYSPER-19;mjakl;2009-04-28T09:22:14.130+0000;good:2 course:1 sure:1 changing:1 semantics:1 bad:1 thing:1 noticed:1 maybe:1 write:1 test:1 capture:1 future:1 seen:1 changes:1 yesterday:1 conflicts:1 looks:1
VYSPER;Apache MINA Committee;network-server;VYSPER-19;brainlounge;2009-04-28T15:13:09.159+0000;yes:1 test:1 probably:1 good:1 idea:1
